"","sigma","threshold"
"1",1,0
"2",2,0
"3",3,0
"4",4,0
"5",5,0
"6",10,0
"7",100,0
"8",1,0.5
"9",2,0.5
"10",3,0.5
"11",4,0.5
"12",5,0.5
"13",10,0.5
"14",100,0.5
"15",1,1
"16",2,1
"17",3,1
"18",4,1
"19",5,1
"20",10,1
"21",100,1
"22",1,1.5
"23",2,1.5
"24",3,1.5
"25",4,1.5
"26",5,1.5
"27",10,1.5
"28",100,1.5
"29",1,2
"30",2,2
"31",3,2
"32",4,2
"33",5,2
"34",10,2
"35",100,2
"36",1,2.5
"37",2,2.5
"38",3,2.5
"39",4,2.5
"40",5,2.5
"41",10,2.5
"42",100,2.5
"43",1,3
"44",2,3
"45",3,3
"46",4,3
"47",5,3
"48",10,3
"49",100,3
"50",1,3.5
"51",2,3.5
"52",3,3.5
"53",4,3.5
"54",5,3.5
"55",10,3.5
"56",100,3.5
"57",1,4
"58",2,4
"59",3,4
"60",4,4
"61",5,4
"62",10,4
"63",100,4
"64",1,4.5
"65",2,4.5
"66",3,4.5
"67",4,4.5
"68",5,4.5
"69",10,4.5
"70",100,4.5
"71",1,5
"72",2,5
"73",3,5
"74",4,5
"75",5,5
"76",10,5
"77",100,5
"78",1,5.5
"79",2,5.5
"80",3,5.5
"81",4,5.5
"82",5,5.5
"83",10,5.5
"84",100,5.5
"85",1,6
"86",2,6
"87",3,6
"88",4,6
"89",5,6
"90",10,6
"91",100,6
"92",1,6.5
"93",2,6.5
"94",3,6.5
"95",4,6.5
"96",5,6.5
"97",10,6.5
"98",100,6.5
"99",1,7
"100",2,7
"101",3,7
"102",4,7
"103",5,7
"104",10,7
"105",100,7
"106",1,7.5
"107",2,7.5
"108",3,7.5
"109",4,7.5
"110",5,7.5
"111",10,7.5
"112",100,7.5
"113",1,8
"114",2,8
"115",3,8
"116",4,8
"117",5,8
"118",10,8
"119",100,8
"120",1,8.5
"121",2,8.5
"122",3,8.5
"123",4,8.5
"124",5,8.5
"125",10,8.5
"126",100,8.5
"127",1,9
"128",2,9
"129",3,9
"130",4,9
"131",5,9
"132",10,9
"133",100,9
"134",1,9.5
"135",2,9.5
"136",3,9.5
"137",4,9.5
"138",5,9.5
"139",10,9.5
"140",100,9.5
"141",1,10
"142",2,10
"143",3,10
"144",4,10
"145",5,10
"146",10,10
"147",100,10
